1;hostis, -is;;;";";nemico;;sì;30;30
2;urbs, -is;;;";";città;;sì;30;30
3;virtus, -utis;;;";";coraggio;;sì;30;30
4;mos, -oris;;;";";usanza, costume, tradizione;;sì;30;30
5;genus, -eris;;;";";stirpe;;sì;30;30
6;caput, -itis;;;";";testa;;sì;30;30
7;ratio, -onis;;;";";conto, ragione, condotta;;sì;30;30
8;gens, -ntis;;;";";clan, stirpe, popolo;;sì;30;30
9;scelus, -eris;;;";";crimine;;sì;30;30
10;eques, -itis;;;";";cavaliere;;sì;30;30
11;princeps, -ipis;;;";";il primo, il principe;;sì;30;30
12;ignis, -is;;;";";fuoco;;sì;30;30
13;dux, -is;;;";";comandante, guida;;sì;30;30
14;os , oris;;;";";bocca;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;dum;;;";";mentre;;sì;30;30
2;ubi (cong.);;;";";quando, non appena;;sì;30;30
3;vel;;;";";o;;sì;30;30
4;VERO;;;";";in verità, anzi;;sì;30;30
5;igitur;;;";";pertanto;;sì;30;30
6;sive;;;";";sia che;;sì;30;30
7;#NOME?;;;";";"o ""parola""";;sì;30;30
8;quoniam;;;";";poiché;;sì;30;30
9;quippe;;;";";dal momento che;;sì;30;30
10;quamvis;;;";";sebbene;;sì;30;30
11;quamquam;;;";";benché;;sì;30;30
12;etsi/etiamsi;;;";";anche se;;sì;30;30
13;namque;;;";";infatti;;sì;30;30
14;quemadmodum;;;";";come, in che modo;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;labor, -oris;;;";";fatica;;sì;30;30
2;voluptas, -atis;;;";";piacere;;sì;30;30
3;opus, -eris;;;";";opera;;sì;30;30
4;ius, iuris;;;";";diritto, giustizia;;sì;30;30
5;pectus, -oris;;;";";cuore;;sì;30;30
6;agmen, -inis;;;";";esercito;;sì;30;30
7;vulnus, -eris;;;";";ferita;;sì;30;30
8;munus, -eris;;;";";carica, regalo;;sì;30;30
9;"ordo, -inis (oltre a ""ordine"")";;;";";fila, classe sociale;;sì;30;30
10;litus, -oris;;;";";costa;;sì;30;30
11;carmen, -inis;;;";";carme, poesia;;sì;30;30
12;salus, -utis;;;";";salvezza;;sì;30;30
13;auris, -is;;;";";orecchio;;sì;30;30
14;caedes, -is;;;";";uccisione;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;iam;;;";";ormai;;sì;30;30
2;tamen;;;";";tuttavia;;sì;30;30
3;nunc;;;";";adesso;;sì;30;30
4;magis;;;";";di più, maggiormente;;sì;30;30
5;ita;;;";";così;;sì;30;30
6;sic;;;";";così;;sì;30;30
7;tam;;;";";tanto;;sì;30;30
8;quidem;;;";";appunto, certamente;;sì;30;30
9;tum;;;";";allora;;sì;30;30
10;deinde;;;";";poi;;sì;30;30
11;modo;;;";";soltanto;;sì;30;30
12;parum;;;";";poco;;sì;30;30
13;quo (avv.);;;";";dove, perciò, quanto;;sì;30;30
14;haud;;;";";non;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;simul;;;";";non appena, insieme;;sì;30;30
2;numquam;;;";";mai;;sì;30;30
3;tunc;;;";";allora;;sì;30;30
4;hinc;;;";";di qui;;sì;30;30
5;satis (avv.);;;";";abbastanza;;sì;30;30
6;eo (avv.);;;";";a tal punto, là;;sì;30;30
7;hic ;;;";";qui;;sì;30;30
8;diu;;;";";a lungo;;sì;30;30
9;inde;;;";";di qui;;sì;30;30
10;#NOME?;;;";";…? (segno di interrogazione);;sì;30;30
